executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
13,0,61,2015-12-28T14:22:03.670GMT,1855,141351,274043069,87,242,0,0,2808,778,4,86561
6,0,258,2015-12-28T14:24:37.997GMT,6,174308,272100220,87,178,0,0,2811,780,4,78585
2,0,259,2015-12-28T14:24:38.477GMT,6,32458,52927994,17,93,0,0,2807,195,1,58973
12,0,64,2015-12-28T14:22:03.672GMT,1863,26745,52104456,16,98,0,1,2808,195,1,590421
15,0,65,2015-12-28T14:22:03.673GMT,1248,141763,274571976,88,596,0,0,2812,585,3,70702
11,0,66,2015-12-28T14:22:03.674GMT,1785,140598,271793863,86,265,0,0,2812,778,4,95924
5,0,67,2015-12-28T14:22:03.675GMT,1816,142546,272379274,87,389,0,0,2807,780,4,83653
6,0,252,2015-12-28T14:24:36.810GMT,6,171299,272852394,86,178,0,0,2811,780,4,80188
6,0,253,2015-12-28T14:24:36.989GMT,6,174768,272086911,87,178,0,0,2811,780,4,94154
2,0,250,2015-12-28T14:24:36.328GMT,7,168654,274088514,88,254,0,0,2807,585,3,97605
2,0,251,2015-12-28T14:24:36.536GMT,5,167671,274616795,87,254,0,0,2807,778,4,84009
2,0,256,2015-12-28T14:24:37.592GMT,5,166871,271660519,86,249,0,0,2807,778,4,87426
2,0,257,2015-12-28T14:24:37.978GMT,6,167592,272640869,87,249,0,0,2807,780,4,85365
6,0,254,2015-12-28T14:24:37.535GMT,13,33862,52822891,17,100,0,0,2811,195,1,56446
6,0,255,2015-12-28T14:24:37.584GMT,4,175766,274136807,88,178,0,0,2811,585,3,72502
3,0,508,2015-12-28T14:29:58.592GMT,23,107200,271623764,87,129,0,0,2811,780,4,88157
3,0,509,2015-12-28T14:29:58.619GMT,3,30099,52250616,17,89,0,0,2811,195,1,61457
9,0,506,2015-12-28T14:29:58.010GMT,4,123310,273251760,87,102,0,0,2807,778,4,90497
3,0,507,2015-12-28T14:29:58.421GMT,5,102085,273583007,87,122,0,0,2811,780,4,84737
3,0,504,2015-12-28T14:29:57.366GMT,6,29650,49718253,16,89,0,0,2811,195,1,47303
12,0,505,2015-12-28T14:29:57.667GMT,5,120448,273414318,88,76,0,0,2808,585,3,48830
5,0,502,2015-12-28T14:29:57.204GMT,5,130359,274054441,87,122,0,0,2807,780,4,67336
8,0,503,2015-12-28T14:29:57.348GMT,5,120483,272120473,87,129,0,0,2807,780,4,64696
10,0,500,2015-12-28T14:29:56.618GMT,5,114385,273886560,88,96,0,0,2812,585,3,57254
9,0,501,2015-12-28T14:29:56.978GMT,5,116647,273921785,87,102,0,0,2807,778,4,59296
8,0,469,2015-12-28T14:28:48.481GMT,26,31779,53346154,17,18,0,0,2807,195,1,98014
12,0,468,2015-12-28T14:28:45.661GMT,5,146506,272728493,87,98,0,0,2808,780,4,59787
14,0,465,2015-12-28T14:28:34.791GMT,9,150388,274028498,88,140,0,0,2812,585,3,54239
5,0,464,2015-12-28T14:28:34.506GMT,5,32365,52158897,16,18,0,0,2807,195,1,66646
7,0,467,2015-12-28T14:28:42.253GMT,6,150761,274421544,87,145,0,1,2811,780,4,66259
6,0,466,2015-12-28T14:28:40.004GMT,5,160316,273989946,87,95,0,0,2811,778,4,63120
1,0,461,2015-12-28T14:28:32.456GMT,8,155054,271782700,86,165,0,0,2811,778,4,63710
