executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
14,0,8675,2015-12-28T17:45:43.235GMT,3,165095,274272353,88,129,0,0,10554,780,4,79649
8,0,8674,2015-12-28T17:45:41.030GMT,3,30903,50270946,16,28,0,0,10549,195,1,45344
11,0,8679,2015-12-28T17:45:47.642GMT,3,30841,49640999,16,24,0,0,10554,195,1,62007
15,0,8678,2015-12-28T17:45:46.960GMT,3,147197,272269524,87,131,0,0,10554,780,4,91293
8,0,4093,2015-12-28T16:00:12.305GMT,3,162726,272380327,85,293,0,0,10549,780,4,86522
0,0,4092,2015-12-28T16:00:08.794GMT,2,142024,273930875,86,275,0,0,10553,780,4,80136
15,0,4091,2015-12-28T16:00:08.075GMT,2,161005,271754823,85,316,0,0,10554,778,4,88535
12,0,4090,2015-12-28T16:00:05.325GMT,2,159761,272794149,86,198,0,0,10550,780,4,88747
12,0,4097,2015-12-28T16:00:16.084GMT,3,159068,274387937,86,202,0,0,10550,780,4,79011
1,0,4096,2015-12-28T16:00:14.863GMT,3,159551,272082413,85,266,0,0,10553,778,4,84862
14,0,4095,2015-12-28T16:00:14.803GMT,3,164161,273087789,86,383,0,0,10554,780,4,69997
13,0,4094,2015-12-28T16:00:12.709GMT,3,40811,72675905,23,51,0,0,10550,195,1,60101
15,0,4099,2015-12-28T16:00:17.498GMT,3,41443,74006839,23,60,0,0,10554,195,1,59916
9,0,4098,2015-12-28T16:00:17.333GMT,3,159008,273541625,85,350,0,0,10549,780,4,75559
5,0,5735,2015-12-28T16:30:26.773GMT,3,164587,274065279,88,330,0,1,10549,585,3,76910
0,0,5734,2015-12-28T16:30:25.289GMT,3,31176,51438924,16,51,0,0,10553,195,1,100695
2,0,5737,2015-12-28T16:30:27.893GMT,4,175441,271710883,86,351,0,1,10549,780,4,88432
11,0,5736,2015-12-28T16:30:27.056GMT,3,167674,274344102,87,280,0,0,10554,778,4,99367
11,0,5731,2015-12-28T16:30:21.821GMT,2,168903,274336335,87,280,0,0,10554,778,4,78224
14,0,5730,2015-12-28T16:30:21.335GMT,3,168516,273884585,88,312,0,0,10554,585,3,67649
12,0,5733,2015-12-28T16:30:23.133GMT,3,170044,273814029,88,381,0,0,10550,780,4,89506
1,0,5732,2015-12-28T16:30:22.582GMT,3,165397,272182986,86,378,0,0,10553,780,4,83901
9,0,5739,2015-12-28T16:30:33.047GMT,4,30943,50558797,16,57,0,0,10549,195,1,46346
10,0,5738,2015-12-28T16:30:31.934GMT,3,169934,272890899,88,299,0,0,10554,780,4,77514
